Date,Actual_PnL,Historical_VaR_95,Historical_VaR_99,VC_VaR_95,VC_VaR_99,MC_VaR_95,MC_VaR_99,Hist_Breach_95,VC_Breach_95,MC_Breach_95,Hist_Breach_99,VC_Breach_99,MC_Breach_99
2026-02-25,12606.910889057057,21469.733987407915,37604.487193460365,22569.460104446705,32173.213034121032,22815.01474623992,31550.70479869808,False,False,False,False,False,False
2026-02-26,-2220.6648390657506,21469.733987407915,37604.487193460365,22523.373156498572,32137.632555465643,22843.352071774654,31368.949681419443,False,False,False,False,False,False
2026-02-27,-10801.36406283262,21469.733987407915,37604.487193460365,22461.86308488569,32064.539587232703,22782.41740709642,31276.999769749804,False,False,False,False,False,False
2026-03-02,1165.85746326413,21469.733987407915,37604.487193460365,22542.099626708197,32132.332820729338,22762.379602959845,31346.970326661278,False,False,False,False,False,False
2026-03-03,742.0816126991197,20085.170641393197,37604.487193460365,22319.34466368649,31856.728312267678,22513.551283509678,31143.911405311545,False,False,False,False,False,False
2026-03-04,4258.936585586254,20085.170641393197,37604.487193460365,22229.575674142972,31750.974155662527,22434.73317670397,31029.54063448248,False,False,False,False,False,False
2026-03-05,-1524.3809371788045,20085.170641393197,37604.487193460365,22234.32845631922,31752.958926428702,22456.60793995909,31076.884195820137,False,False,False,False,False,False
2026-03-06,-11449.491255873734,20085.170641393197,37604.487193460365,22171.660396287538,31678.84611919577,22386.11039084132,30918.00928828253,False,False,False,False,False,False
2026-03-09,2787.7413134984154,20085.170641393197,37604.487193460365,22254.515740900708,31776.283878329017,22462.509974601628,31026.302667585886,False,False,False,False,False,False
2026-03-10,-2577.8665119338243,18694.486448564952,37604.487193460365,21921.801549769665,31358.013453089363,22174.939753562696,30629.680515800283,False,False,False,False,False,False
2026-03-11,739.3341991112743,18694.486448564952,37604.487193460365,21839.85737233239,31258.942387094183,22049.66644439936,30505.32896875806,False,False,False,False,False,False
2026-03-12,-11152.991937578345,18694.486448564952,37604.487193460365,21821.763174336233,31239.408322354462,22037.478523691076,30697.657020466817,False,False,False,False,False,False
2026-03-13,-7827.009319977221,17155.665298695018,37604.487193460365,21717.980155176316,31107.110119168425,21906.899775956754,30347.43536625978,False,False,False,False,False,False
2026-03-16,11812.482107162094,17155.665298695018,37604.487193460365,21732.03934382265,31073.56271979383,21972.838090835085,30410.790818165082,False,False,False,False,False,False
2026-03-17,6756.291096527811,17155.665298695018,37604.487193460365,21722.54068176363,31075.871486943142,21938.763530679927,30413.92953405088,False,False,False,False,False,False
2026-03-18,-13437.368845460129,17155.665298695018,37604.487193460365,21667.798599685582,31019.735356452013,21876.651116486602,30356.368494989165,False,False,False,False,False,False
2026-03-19,-2592.1500193061165,17155.665298695018,37604.487193460365,21785.140367454525,31140.28896984676,21988.36389882709,30464.481214688956,False,False,False,False,False,False
2026-03-20,-6720.739221298082,17155.665298695018,37604.487193460365,21788.291823610343,31143.794972420383,21997.27280327936,30467.045556423695,False,False,False,False,False,False
2026-03-23,13032.877210336947,17155.665298695018,37604.487193460365,21847.775658732608,31199.34426056082,22086.83850518846,30559.829031218138,False,False,False,False,False,False
2026-03-24,-925.2286037782047,17155.665298695018,37604.487193460365,21836.40487458998,31176.726199273937,22097.315287052817,30536.150747823885,False,False,False,False,False,False
2026-03-25,4940.9037401110245,17155.665298695018,37604.487193460365,21859.248598878108,31189.590059163365,22071.113272685972,30529.818039518697,False,False,False,False,False,False
2026-03-26,-6220.164221781134,17155.665298695018,37604.487193460365,21799.130837412624,31124.880296828524,21977.22032008063,30413.436448355853,False,False,False,False,False,False
2026-03-27,-17531.53983633006,17155.665298695018,37604.487193460365,21838.768038127386,31169.297755111846,22088.647474143523,30552.336497098433,True,False,False,False,False,False
2026-03-30,998.2135945188933,17155.665298695018,37604.487193460365,21720.806650002927,31015.720559296977,21913.714506656557,30317.799515449395,False,False,False,False,False,False
2026-03-31,26418.643639578775,17155.665298695018,37604.487193460365,21733.209557309252,31025.855883968852,21920.488650852414,30337.941087782194,False,False,False,False,False,False
2026-04-01,-2961.9788545898864,17155.665298695018,37604.487193460365,21802.261190756,31159.082917864467,21992.11298055031,30495.79502344435,False,False,False,False,False,False
2026-04-02,629.3267378721433,17155.665298695018,37604.487193460365,21835.169019782268,31190.40062128409,22029.90676816536,30571.010780994857,False,False,False,False,False,False
2026-04-06,10197.986499223965,17026.143875343878,32068.460214109295,20266.37865043005,29090.446216489705,20413.42604630417,28537.937756204676,False,False,False,False,False,False
